DATE,MEHOINUSNMA646N
1984-01-01,20630
1985-01-01,20423
1986-01-01,19845
1987-01-01,20758
1988-01-01,19296
1989-01-01,22602
1990-01-01,25039
1991-01-01,26540
1992-01-01,25860
1993-01-01,26758
1994-01-01,26905
1995-01-01,25991
1996-01-01,25086
1997-01-01,30086
1998-01-01,31543
1999-01-01,32574
2000-01-01,35093
2001-01-01,33124
2002-01-01,35457
2003-01-01,35105
2004-01-01,39562
2005-01-01,38947
2006-01-01,40028
2007-01-01,44356
2008-01-01,42102
2009-01-01,43542
2010-01-01,45134
2011-01-01,41982
2012-01-01,43424
2013-01-01,40166
2014-01-01,46686
2015-01-01,45119
2016-01-01,48451
2017-01-01,45601
2018-01-01,48283
2019-01-01,53113
2020-01-01,50906
2021-01-01,53463
